"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"GLV","Clough Global Allocation Fund","15.22","$158.81M","2004","nan","nan","http://www.nasdaq.com/symbol/glv","AMEX"
"GLQ","Clough Global Equity Fund","15.09","$269.22M","2005","nan","nan","http://www.nasdaq.com/symbol/glq","AMEX"
"GLO","Clough Global Opportunities Fund","12.57","$650.33M","2006","nan","nan","http://www.nasdaq.com/symbol/glo","AMEX"
"CRV","Coast Distribution System, Inc. (The)","3.47","$18.45M","nan","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/crv","AMEX"
"MOC","Command Security Corporation","1.94","$18.88M","nan","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc","AMEX"
"CIX","CompX International Inc.","11.44","$141.9M","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix","AMEX"
"LODE","Comstock Mining, Inc.","0.615","$55.19M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode","AMEX"
"CTO","Consolidated-Tomoka Land Co.","59.42","$350.91M","nan","Finance","Real Estate","http://www.nasdaq.com/symbol/cto","AMEX"
"MCF","Contango Oil & Gas Company","22.75","$435.8M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf","AMEX"
"CUO","Continental Materials Corporation","17.937","$29.6M","nan","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo","AMEX"
"CMT","Core Molding Technologies Inc","17.7","$133.85M","nan","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt","AMEX"
"CRMD","CorMedix Inc","9.08","$219.03M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd","AMEX"
"CRMD/WS","CorMedix Inc","5.59","nan","nan","nan","nan","http://www.nasdaq.com/symbol/crmd/ws","AMEX"
"CFP","Cornerstone Progressive Return Fund","15.9","$263.39M","nan","nan","nan","http://www.nasdaq.com/symbol/cfp","AMEX"
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","22.39","$100.24M","nan","nan","nan","http://www.nasdaq.com/symbol/crf","AMEX"
"CLM","Cornerstone Strategic Value Fund, Inc.","21.43","$175.61M","1987","nan","nan","http://www.nasdaq.com/symbol/clm","AMEX"
"COVR","Cover-All Technologies Inc.","1","$26.64M","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/covr","AMEX"
"CVU","CPI Aerostructures, Inc.","12","$102.01M","nan","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu","AMEX"
"CIK","Credit Suisse Asset Management Income Fund, Inc.","3.25","$169.84M","nan","nan","nan","http://www.nasdaq.com/symbol/cik","AMEX"
"DHY","Credit Suisse High Yield Bond Fund","2.775","$276.17M","1998","nan","nan","http://www.nasdaq.com/symbol/dhy","AMEX"
"CRVP","Crystal Rock Holdings, Inc.","0.73","$15.59M","nan","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp","AMEX"
"CTP","CTPartners Executive Search Inc.","4","$29.04M","2010","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ctp","AMEX"
"CVSL","CVSL Inc.","2.29","$78.7M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cvsl","AMEX"
"DAKP","Dakota Plains Holdings, Inc.","1.95","$107.11M","nan","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp","AMEX"
"DXR","Daxor Corporation","5.794","$23.12M","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr","AMEX"
"DEJ","Dejour Energy Inc.","0.128","$23.35M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dej","AMEX"
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","14.34","$69.36M","1993","nan","nan","http://www.nasdaq.com/symbol/vcf","AMEX"
"VFL","Delaware Investments Florida Insured Municipal Income Fund","13.12","$59.41M","1993","nan","nan","http://www.nasdaq.com/symbol/vfl","AMEX"
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.83","$159.11M","1993","nan","nan","http://www.nasdaq.com/symbol/vmm","AMEX"
"DLA","Delta Apparel, Inc.","12.87","$101.56M","nan","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla","AMEX"
"DNN","Denison Mine Corp","0.81","$410.22M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn","AMEX"
"DGSE","DGSE Companies, Inc.","1.45","$17.77M","nan","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse","AMEX"
"DPW","Digital Power Corporation","0.88","$5.96M","nan","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw","AMEX"
"DSS","Document Security Systems, Inc.","0.41","$17.31M","nan","Technology","EDP Services","http://www.nasdaq.com/symbol/dss","AMEX"
"DMF","Dreyfus Municipal Income, Inc.","9.65","$199.9M","1988","nan","nan","http://www.nasdaq.com/symbol/dmf","AMEX"
"GRF","Eagle Capital Growth Fund, Inc.","7.91","$24.72M","nan","nan","nan","http://www.nasdaq.com/symbol/grf","AMEX"
"ESTE","Earthstone Energy, Inc.","24","$332.04M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este","AMEX"
"EVM","Eaton Vance California Municipal Bond Fund","12.09","$258.71M","2002","nan","nan","http://www.nasdaq.com/symbol/evm","AMEX"
"EIA","Eaton Vance California Municipal Bond Fund II","12.94","$50.27M","2002","nan","nan","http://www.nasdaq.com/symbol/eia","AMEX"
"CEV","Eaton Vance California Municipal Income Trust","13.4","$97.21M","1999","nan","nan","http://www.nasdaq.com/symbol/cev","AMEX"
"EVV","Eaton Vance Limited Duration Income Fund","14.34","$1.69B","2003","nan","nan","http://www.nasdaq.com/symbol/evv","AMEX"
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","14.56","$25.75M","2002","nan","nan","http://www.nasdaq.com/symbol/mab","AMEX"
"MMV","Eaton Vance Massachusetts Municipal Income Trust","13.612","$37.33M","1999","nan","nan","http://www.nasdaq.com/symbol/mmv","AMEX"
"MIW","Eaton Vance Michigan Municipal Bond Fund","13.5501","$20.52M","2002","nan","nan","http://www.nasdaq.com/symbol/miw","AMEX"
"EMI","Eaton Vance Michigan Municipal Income Trust","12.91","$26.9M","1999","nan","nan","http://www.nasdaq.com/symbol/emi","AMEX"
"EIM","Eaton Vance Municipal Bond Fund","12.72","$867.1M","2002","nan","nan","http://www.nasdaq.com/symbol/eim","AMEX"
"EIV","Eaton Vance Municipal Bond Fund II","12.8","$128.17M","2002","nan","nan","http://www.nasdaq.com/symbol/eiv","AMEX"
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","13.07","$34.1M","2002","nan","nan","http://www.nasdaq.com/symbol/emj","AMEX"
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.43","$58M","1999","nan","nan","http://www.nasdaq.com/symbol/evj","AMEX"
"ENX","Eaton Vance New York Municipal Bond Fund","12.7","$199.16M","2002","nan","nan","http://www.nasdaq.com/symbol/enx","AMEX"
"NYH","Eaton Vance New York Municipal Bond Fund II","12.36","$31.73M","2002","nan","nan","http://www.nasdaq.com/symbol/nyh","AMEX"
"EVY","Eaton Vance New York Municipal Income Trust","13.73","$75.18M","1999","nan","nan","http://www.nasdaq.com/symbol/evy","AMEX"
"EIO","Eaton Vance Ohio Municipal Bond Fund","13.15","$33.36M","2002","nan","nan","http://www.nasdaq.com/symbol/eio","AMEX"
"EVO","Eaton Vance Ohio Municipal Income Trust","13.8456","$39.56M","1999","nan","nan","http://www.nasdaq.com/symbol/evo","AMEX"
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","13.11","$38.81M","2002","nan","nan","http://www.nasdaq.com/symbol/eip","AMEX"
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.268","$33.1M","1999","nan","nan","http://www.nasdaq.com/symbol/evp","AMEX"
"ELMD","Electromed, Inc.","2.4","$19.52M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd","AMEX"
"ETAK","Elephant Talk Communications Corp.","0.3997","$60.65M","nan","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/etak","AMEX"
"ELLO","Ellomay Capital Ltd.","8.154","$87.25M","nan","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello","AMEX"
"ECF","Ellsworth Growth and Income Fund Ltd.","8.78","$115.38M","1986","nan","nan","http://www.nasdaq.com/symbol/ecf","AMEX"
"EMAN","eMagin Corporation","2.35","$59.21M","nan","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman","AMEX"
"EOX","Emerald Oil, Inc.","0.7169","$77.36M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eox","AMEX"
"MSN","Emerson Radio Corporation","1.45","$39.34M","nan","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn","AMEX"
"UUUU","Energy Fuels Inc","4.07","$80.11M","nan","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu","AMEX"
"ENRJ","EnerJex Resources, Inc.","1.5","$11.46M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj","AMEX"
"ENRJ^","EnerJex Resources, Inc.","8.48","nan","nan","nan","nan","http://www.nasdaq.com/symbol/enrj^","AMEX"
"ENSV","ENSERVCO Corporation","1.78","$66.96M","nan","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv","AMEX"
"EGI","Entree Gold Inc","0.215","$31.6M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi","AMEX"
"EVI","EnviroStarm, Inc.","2.9745","$20.92M","nan","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi","AMEX"
"ERB","ERBA Diagnostics, Inc.","3.52","$154.91M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/erb","AMEX"
