indx,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote,Exchange,minutedata
663,CTG,"Computer Task Group, Incorporated",7.46,$139.86M,,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg,NASDAQ,True
664,SCOR,"comScore, Inc.",51.04,$1.74B,2007.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/scor,NASDAQ,True
665,CHCI,"Comstock Holding Companies, Inc.",0.9298,$20.09M,2004.0,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci,NASDAQ,True
666,CMTL,Comtech Telecommunications Corp.,30.22,$491.21M,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl,NASDAQ,True
667,CNSI,Comverse Inc.,19.89,$435.8M,,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cnsi,NASDAQ,True
668,CNAT,Conatus Pharmaceuticals Inc.,6.09,$95.57M,2013.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat,NASDAQ,True
669,CNCE,"Concert Pharmaceuticals, Inc.",15.57,$336.1M,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce,NASDAQ,True
670,CCUR,Concurrent Computer Corporation,6.29,$59.44M,,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur,NASDAQ,True
671,CNMD,CONMED Corporation,51.12,$1.41B,1987.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd,NASDAQ,True
672,CTWS,"Connecticut Water Service, Inc.",37.51,$418.34M,,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws,NASDAQ,True
673,CNOB,"ConnectOne Bancorp, Inc.",19.48,$581.76M,,,,http://www.nasdaq.com/symbol/cnob,NASDAQ,True
674,CNXR,"Connecture, Inc.",10.16,$220.45M,2014.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr,NASDAQ,True
675,CONN,"Conn&#39;s, Inc.",30.84,$1.12B,2003.0,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn,NASDAQ,True
676,CNSL,"Consolidated Communications Holdings, Inc.",21.89,$1.11B,2005.0,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl,NASDAQ,True
677,CWCO,Consolidated Water Co. Ltd.,11.32,$166.58M,,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco,NASDAQ,True
678,CTCT,"Constant Contact, Inc.",38.38,$1.23B,2007.0,Technology,Advertising,http://www.nasdaq.com/symbol/ctct,NASDAQ,True
679,CPSS,"Consumer Portfolio Services, Inc.",7.15,$183.06M,1992.0,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss,NASDAQ,True
680,CFRX,ContraFect Corporation,5.6,$113.28M,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx,NASDAQ,True
681,CFRXW,ContraFect Corporation,1.93,,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrxw,NASDAQ,False
682,CFRXZ,ContraFect Corporation,0.85,,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrxz,NASDAQ,False
683,CTRV,ContraVir Pharmaceuticals Inc,3.35,$74.62M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv,NASDAQ,True
684,CTRL,Control4 Corporation,11.92,$289.75M,2013.0,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl,NASDAQ,True
685,CPRT,"Copart, Inc.",37.68,$4.76B,1994.0,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt,NASDAQ,True
686,CORT,Corcept Therapeutics Incorporated,5.77,$585.11M,1982.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort,NASDAQ,True
687,BVA,Cordia Bancorp Inc.,3.87,$25.17M,,,,http://www.nasdaq.com/symbol/bva,NASDAQ,True
688,CORE,"Core-Mark Holding Company, Inc.",65.43,$1.51B,,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core,NASDAQ,True
689,CORI,"Corium International, Inc.",7.06,$127.58M,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori,NASDAQ,True
690,CSOD,"Cornerstone OnDemand, Inc.",28.16,$1.52B,2011.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod,NASDAQ,True
691,CNDO,"Coronado Biosciences, Inc.",3.88,$180.41M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cndo,NASDAQ,True
692,CRVL,CorVel Corp.,35.59,$725.71M,,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl,NASDAQ,True
693,COSI,"Cosi, Inc.",2.59,$99.22M,2002.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cosi,NASDAQ,True
694,CSGP,"CoStar Group, Inc.",198.29,$6.41B,1998.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp,NASDAQ,True
695,COST,Costco Wholesale Corporation,151.63,$66.71B,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost,NASDAQ,True
696,CPAH,CounterPath Corporation,0.5299,$22.48M,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah,NASDAQ,True
697,ICBK,"County Bancorp, Inc.",20.13,$110.67M,2015.0,,,http://www.nasdaq.com/symbol/icbk,NASDAQ,True
698,CRRC,Courier Corporation,24.77,$285.46M,,Consumer Services,Publishing,http://www.nasdaq.com/symbol/crrc,NASDAQ,True
699,CVTI,"Covenant Transportation Group, Inc.",32.63,$591.94M,1994.0,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti,NASDAQ,True
700,COVS,Covisint Corporation,2.08,$81.15M,2013.0,Technology,EDP Services,http://www.nasdaq.com/symbol/covs,NASDAQ,True
701,COWN,"Cowen Group, Inc.",5.28,$586.97M,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown,NASDAQ,True
702,COWNL,"Cowen Group, Inc.",26.49,,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownl,NASDAQ,False
703,CPSH,CPS Technologies Corp.,2.8,$36.82M,,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh,NASDAQ,True
704,CRAI,"CRA International,Inc.",31.64,$291.27M,1998.0,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai,NASDAQ,True
705,CBRL,"Cracker Barrel Old Country Store, Inc.",151.65,$3.63B,1981.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl,NASDAQ,True
706,BREW,"Craft Brew Alliance, Inc.",13.6,$259.97M,,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew,NASDAQ,True
707,CRAY,Cray Inc,28.98,$1.18B,,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray,NASDAQ,True
708,CACC,Credit Acceptance Corporation,198.58,$4.09B,1992.0,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc,NASDAQ,True
709,GLDI,Credit Suisse AG,11.8899,$160.82M,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gldi,NASDAQ,True
710,SLVO,Credit Suisse Silver Shares Covered Call ETN,11.57,$9.83M,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/slvo,NASDAQ,True
711,CREE,"Cree, Inc.",34.13,$3.81B,1993.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree,NASDAQ,True
712,CRESW,Cresud S.A.C.I.F. y A.,0.016,,,Finance,Real Estate,http://www.nasdaq.com/symbol/cresw,NASDAQ,False
713,CRESY,Cresud S.A.C.I.F. y A.,13.71,$7.93M,1997.0,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy,NASDAQ,True
714,CRTO,Criteo S.A.,40.99,$2.5B,2013.0,Technology,Advertising,http://www.nasdaq.com/symbol/crto,NASDAQ,True
715,CROX,"Crocs, Inc.",11.98,$932.46M,2006.0,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox,NASDAQ,True
716,CCRN,"Cross Country Healthcare, Inc.",11.97,$382.22M,2001.0,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn,NASDAQ,True
717,CRDS,"Crossroads Systems, Inc.",2.55,$48.9M,1999.0,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds,NASDAQ,True
718,CRWS,"Crown Crafts, Inc.",8.12,$81.72M,,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws,NASDAQ,True
719,CRWN,"Crown Media Holdings, Inc.",4.0,$1.44B,2000.0,Consumer Services,Television Services,http://www.nasdaq.com/symbol/crwn,NASDAQ,True
720,CSGS,"CSG Systems International, Inc.",30.66,$1.05B,1996.0,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs,NASDAQ,True
721,CCLP,CSI Compressco LP,19.33,$640.71M,2011.0,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp,NASDAQ,True
722,CSPI,CSP Inc.,6.695,$24.47M,1982.0,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi,NASDAQ,True
723,CSRE,CSR plc,51.91,$2.43B,,Technology,Semiconductors,http://www.nasdaq.com/symbol/csre,NASDAQ,True
724,CTCM,"CTC Media, Inc.",3.97,$618.38M,2006.0,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ctcm,NASDAQ,True
725,CTIC,CTI BioPharma Corp.,1.905,$343.39M,1997.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic,NASDAQ,True
726,CTIB,CTI Industries Corporation,4.02,$13.27M,1997.0,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib,NASDAQ,True
727,CTRP,"Ctrip.com International, Ltd.",59.25,$8.02B,2003.0,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp,NASDAQ,True
728,CUNB,CU Bancorp (CA),22.69,$379.65M,,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb,NASDAQ,True
729,CUI,"CUI Global, Inc.",5.78,$120.11M,,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui,NASDAQ,True
730,CPIX,Cumberland Pharmaceuticals Inc.,6.97,$118.27M,2009.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpix,NASDAQ,True
731,CMLS,Cumulus Media Inc.,2.57,$599.6M,1998.0,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cmls,NASDAQ,True
732,CRIS,"Curis, Inc.",2.35,$242.47M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cris,NASDAQ,True
733,CUTR,"Cutera, Inc.",13.15,$193.12M,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cutr,NASDAQ,True
734,CVBF,CVB Financial Corporation,15.91,$1.69B,,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf,NASDAQ,True
735,CVV,CVD Equipment Corporation,13.47,$82.72M,,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv,NASDAQ,True
736,CYAN,Cyanotech Corporation,8.92,$49.53M,,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cyan,NASDAQ,True
737,CYBR,CyberArk Software Ltd.,53.81,$1.64B,2014.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cybr,NASDAQ,True
738,CYBX,"Cyberonics, Inc.",65.51,$1.71B,1993.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cybx,NASDAQ,True
739,CYBE,CyberOptics Corporation,10.6,$70.87M,1987.0,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/cybe,NASDAQ,True
740,CYCC,"Cyclacel Pharmaceuticals, Inc.",0.87,$21.22M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cycc,NASDAQ,True
