"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"MOLG","MOL Global, Inc.","2.19","$147.83M","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/molg","NASDAQ"
"MNTA","Momenta Pharmaceuticals, Inc.","15.29","$840.53M","2004","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/mnta","NASDAQ"
"MOMO","Momo Inc.","10.51","$1.99B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/momo","NASDAQ"
"MCRI","Monarch Casino & Resort, Inc.","20.1","$337.94M","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mcri","NASDAQ"
"MNRK","Monarch Financial Holdings, Inc.","12.58","$135.09M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/mnrk","NASDAQ"
"MDLZ","Mondelez International, Inc.","36.63","$60.42B","nan","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mdlz","NASDAQ"
"MGI","Moneygram International, Inc.","8.61","$457.96M","nan","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mgi","NASDAQ"
"MPWR","Monolithic Power Systems, Inc.","51.7","$2.03B","2004","Technology","Semiconductors","http://www.nasdaq.com/symbol/mpwr","NASDAQ"
"TYPE","Monotype Imaging Holdings Inc.","32.37","$1.28B","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/type","NASDAQ"
"MNRO","Monro Muffler Brake, Inc.","65.07","$2.06B","1991","Consumer Services","Automotive Aftermarket","http://www.nasdaq.com/symbol/mnro","NASDAQ"
"MRCC","Monroe Capital Corporation","14.57","$140.34M","2012","nan","nan","http://www.nasdaq.com/symbol/mrcc","NASDAQ"
"MNST","Monster Beverage Corporation","135.66","$23.07B","nan","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/mnst","NASDAQ"
"MHGC","Morgans Hotel Group Co.","7.85","$270.25M","2006","nan","nan","http://www.nasdaq.com/symbol/mhgc","NASDAQ"
"MORN","Morningstar, Inc.","73.96","$3.28B","2005","Finance","Investment Managers","http://www.nasdaq.com/symbol/morn","NASDAQ"
"MOSY","MoSys, Inc.","2.11","$136.37M","2001","Technology","Semiconductors","http://www.nasdaq.com/symbol/mosy","NASDAQ"
