indx,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote,Exchange,minutedata
0,XXII,"22nd Century Group, Inc",0.8643,$55.6M,,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,AMEX,True
1,FAX,Aberdeen Asia-Pacific Income Fund Inc,5.46,$1.46B,1986.0,,,http://www.nasdaq.com/symbol/fax,AMEX,True
2,IAF,Aberdeen Australia Equity Fund Inc,7.12,$163.32M,,,,http://www.nasdaq.com/symbol/iaf,AMEX,True
3,CH,"Aberdeen Chile Fund, Inc.",7.6,$71.34M,,,,http://www.nasdaq.com/symbol/ch,AMEX,True
4,ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.84,$125.38M,1992.0,,,http://www.nasdaq.com/symbol/etf,AMEX,True
5,FCO,"Aberdeen Global Income Fund, Inc.",9.36,$86.07M,1992.0,,,http://www.nasdaq.com/symbol/fco,AMEX,True
6,IF,"Aberdeen Indonesia Fund, Inc.",7.76,$73.61M,1990.0,,,http://www.nasdaq.com/symbol/if,AMEX,True
7,ISL,"Aberdeen Israel Fund, Inc.",17.83,$72.56M,1992.0,,,http://www.nasdaq.com/symbol/isl,AMEX,True
8,ACU,Acme United Corporation.,18.37,$60.96M,1988.0,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,AMEX,True
9,AIII,"ACRE Realty Investors, Inc.",1.62,$32.48M,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,AMEX,True
10,ATNM,"Actinium Pharmaceuticals, Inc.",2.56,$90.83M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,AMEX,True
11,AE,"Adams Resources & Energy, Inc.",70.0,$295.23M,,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,AMEX,True
12,ADK,Adcare Health Systems Inc,4.11,$79.52M,,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,AMEX,True
13,ADK^A,Adcare Health Systems Inc,28.96,,,,,http://www.nasdaq.com/symbol/adk^a,AMEX,False
14,API,"Advanced Photonix, Inc.",0.4,$14.95M,,Technology,Semiconductors,http://www.nasdaq.com/symbol/api,AMEX,True
15,ACY,AeroCentury Corp.,13.161,$20.31M,,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,AMEX,True
16,WGA,"AG&E Holdings, Inc.",0.87,$10.16M,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga,AMEX,True
17,AIRI,Air Industries Group,10.05,$71.36M,,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,AMEX,True
18,AA^,Alcoa Inc.,85.219,,,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^,AMEX,False
19,AXX,Alderon Iron Ore Corp.,0.27,$35.68M,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx,AMEX,True
